Name,Agility,Reactions,total
L. Messi,91.0,95.0,277.0
Cristiano Ronaldo,87.0,96.0,272.0
Neymar Jr,96.0,94.0,284.0
De Gea,60.0,90.0,207.0
K. De Bruyne,79.0,91.0,248.0
E. Hazard,95.0,90.0,279.0
L. Modrić,93.0,90.0,263.0
L. Suárez,82.0,92.0,260.0
Sergio Ramos,78.0,85.0,239.0
J. Oblak,67.0,86.0,196.0
R. Lewandowski,78.0,90.0,245.0
T. Kroos,70.0,89.0,223.0
D. Godín,58.0,85.0,211.0
David Silva,92.0,90.0,252.0
N. Kanté,82.0,93.0,257.0
P. Dybala,91.0,86.0,264.0
H. Kane,71.0,91.0,230.0
A. Griezmann,90.0,90.0,268.0
M. ter Stegen,37.0,85.0,160.0
T. Courtois,61.0,84.0,191.0
Sergio Busquets,66.0,87.0,203.0
E. Cavani,77.0,91.0,243.0
M. Neuer,51.0,84.0,189.0
S. Agüero,86.0,90.0,264.0
G. Chiellini,54.0,82.0,199.0
K. Mbappé,92.0,87.0,275.0
M. Salah,91.0,91.0,276.0
Casemiro,62.0,84.0,205.0
J. Rodríguez,83.0,85.0,241.0
L. Insigne,94.0,83.0,271.0
Isco,87.0,77.0,239.0
C. Eriksen,79.0,88.0,242.0
Coutinho,92.0,83.0,264.0
P. Aubameyang,76.0,87.0,256.0
M. Hummels,63.0,87.0,203.0
Marcelo,86.0,88.0,257.0
G. Bale,82.0,85.0,261.0
H. Lloris,55.0,85.0,205.0
G. Higuaín,75.0,86.0,234.0
Thiago Silva,68.0,82.0,220.0
S. Handanovič,47.0,83.0,181.0
G. Buffon,55.0,79.0,183.0
S. Umtiti,68.0,82.0,221.0
M. Icardi,76.0,88.0,241.0
K. Koulibaly,50.0,80.0,198.0
P. Pogba,74.0,81.0,226.0
K. Navas,60.0,84.0,198.0
R. Lukaku,60.0,86.0,223.0
C. Immobile,77.0,87.0,242.0
Jordi Alba,90.0,83.0,266.0
D. Mertens,94.0,88.0,275.0
J. Vertonghen,61.0,84.0,206.0
M. Hamšík,76.0,88.0,233.0
I. Rakitić,72.0,77.0,215.0
